0,20140101,1000,0,0
3,20140101,1300,0,0
4,20140101,1600,0,0
5,20140101,1900,0,0
0,20140101,2200,0,0
0,20140101,1000,0,1
3,20140101,1300,0,1
4,20140101,1600,0,1
5,20140101,1900,0,1
0,20140101,2200,0,1
5,20140101,1000,0,2
4,20140101,1300,0,2
3,20140101,1600,0,2
0,20140101,1900,0,2
5,20140101,2200,0,2
0,20140101,1000,1,0
3,20140101,1300,1,0
4,20140101,1600,1,0
5,20140101,1900,1,0
0,20140101,2200,1,0
5,20140101,1000,1,1
4,20140101,1300,1,1
3,20140101,1600,1,1
0,20140101,1900,1,1
5,20140101,2200,1,1
0,20140101,1000,1,2
3,20140101,1300,1,2
4,20140101,1600,1,2
5,20140101,1900,1,2
0,20140101,2200,1,2
0,20140102,1000,0,0
3,20140102,1300,0,0
4,20140102,1600,0,0
5,20140102,1900,0,0
0,20140102,2200,0,0
0,20140102,1000,0,1
3,20140102,1300,0,1
4,20140102,1600,0,1
5,20140102,1900,0,1
0,20140102,2200,0,1
5,20140102,1000,0,2
4,20140102,1300,0,2
3,20140102,1600,0,2
0,20140102,1900,0,2
5,20140102,2200,0,2
0,20140102,1000,1,0
3,20140102,1300,1,0
4,20140102,1600,1,0
5,20140102,1900,1,0
0,20140102,2200,1,0
5,20140102,1000,1,1
4,20140102,1300,1,1
3,20140102,1600,1,1
0,20140102,1900,1,1
5,20140102,2200,1,1
0,20140102,1000,1,2
3,20140102,1300,1,2
4,20140102,1600,1,2
5,20140102,1900,1,2
0,20140102,2200,1,2
0,20140103,1000,0,0
3,20140103,1300,0,0
4,20140103,1600,0,0
5,20140103,1900,0,0
0,20140103,2200,0,0
0,20140103,1000,0,1
3,20140103,1300,0,1
4,20140103,1600,0,1
5,20140103,1900,0,1
0,20140103,2200,0,1
5,20140103,1000,0,2
4,20140103,1300,0,2
3,20140103,1600,0,2
0,20140103,1900,0,2
5,20140103,2200,0,2
0,20140103,1000,1,0
3,20140103,1300,1,0
4,20140103,1600,1,0
5,20140103,1900,1,0
0,20140103,2200,1,0
5,20140103,1000,1,1
4,20140103,1300,1,1
3,20140103,1600,1,1
0,20140103,1900,1,1
5,20140103,2200,1,1
0,20140103,1000,1,2
3,20140103,1300,1,2
4,20140103,1600,1,2
5,20140103,1900,1,2
0,20140103,2200,1,2
0,20140104,1000,0,0
3,20140104,1300,0,0
4,20140104,1600,0,0
5,20140104,1900,0,0
0,20140104,2200,0,0
0,20140104,1000,0,1
3,20140104,1300,0,1
4,20140104,1600,0,1
5,20140104,1900,0,1
0,20140104,2200,0,1
5,20140104,1000,0,2
4,20140104,1300,0,2
3,20140104,1600,0,2
0,20140104,1900,0,2
5,20140104,2200,0,2
0,20140104,1000,1,0
3,20140104,1300,1,0
4,20140104,1600,1,0
5,20140104,1900,1,0
0,20140104,2200,1,0
5,20140104,1000,1,1
4,20140104,1300,1,1
3,20140104,1600,1,1
0,20140104,1900,1,1
5,20140104,2200,1,1
0,20140104,1000,1,2
3,20140104,1300,1,2
4,20140104,1600,1,2
5,20140104,1900,1,2
0,20140104,2200,1,2
0,20140105,1000,0,0
3,20140105,1300,0,0
4,20140105,1600,0,0
5,20140105,1900,0,0
0,20140105,2200,0,0
0,20140105,1000,0,1
3,20140105,1300,0,1
4,20140105,1600,0,1
5,20140105,1900,0,1
0,20140105,2200,0,1
5,20140105,1000,0,2
4,20140105,1300,0,2
3,20140105,1600,0,2
0,20140105,1900,0,2
5,20140105,2200,0,2
0,20140105,1000,1,0
3,20140105,1300,1,0
4,20140105,1600,1,0
5,20140105,1900,1,0
0,20140105,2200,1,0
5,20140105,1000,1,1
4,20140105,1300,1,1
3,20140105,1600,1,1
0,20140105,1900,1,1
5,20140105,2200,1,1
0,20140105,1000,1,2
3,20140105,1300,1,2
4,20140105,1600,1,2
5,20140105,1900,1,2
0,20140105,2200,1,2
0,20140106,1000,0,0
3,20140106,1300,0,0
4,20140106,1600,0,0
5,20140106,1900,0,0
0,20140106,2200,0,0
0,20140106,1000,0,1
3,20140106,1300,0,1
4,20140106,1600,0,1
5,20140106,1900,0,1
0,20140106,2200,0,1
5,20140106,1000,0,2
4,20140106,1300,0,2
3,20140106,1600,0,2
0,20140106,1900,0,2
5,20140106,2200,0,2
0,20140106,1000,1,0
3,20140106,1300,1,0
4,20140106,1600,1,0
5,20140106,1900,1,0
0,20140106,2200,1,0
5,20140106,1000,1,1
4,20140106,1300,1,1
3,20140106,1600,1,1
0,20140106,1900,1,1
5,20140106,2200,1,1
0,20140106,1000,1,2
3,20140106,1300,1,2
4,20140106,1600,1,2
5,20140106,1900,1,2
0,20140106,2200,1,2
0,20140107,1000,0,0
3,20140107,1300,0,0
4,20140107,1600,0,0
5,20140107,1900,0,0
0,20140107,2200,0,0
0,20140107,1000,0,1
3,20140107,1300,0,1
4,20140107,1600,0,1
5,20140107,1900,0,1
0,20140107,2200,0,1
5,20140107,1000,0,2
4,20140107,1300,0,2
3,20140107,1600,0,2
0,20140107,1900,0,2
5,20140107,2200,0,2
0,20140107,1000,1,0
3,20140107,1300,1,0
4,20140107,1600,1,0
5,20140107,1900,1,0
0,20140107,2200,1,0
5,20140107,1000,1,1
4,20140107,1300,1,1
3,20140107,1600,1,1
0,20140107,1900,1,1
5,20140107,2200,1,1
0,20140107,1000,1,2
3,20140107,1300,1,2
4,20140107,1600,1,2
5,20140107,1900,1,2
0,20140107,2200,1,2
0,20140108,1000,0,0
3,20140108,1300,0,0
4,20140108,1600,0,0
5,20140108,1900,0,0
0,20140108,2200,0,0
0,20140108,1000,0,1
3,20140108,1300,0,1
4,20140108,1600,0,1
5,20140108,1900,0,1
